"Run","Time.Step","Population.Size","Group.Members","Floaters","Lambda","Trait.Index..0","Trait.Index..1","Trait.Index..2","Trait.Index..3","Trait.Index..4","Trait.Index..5","Inside"
1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,2267,1503,764,1,0,0,0,0,268,1999,0
1,2,3017,2210,807,1.330834,0,0,0,0,279,2738,0
1,3,3424,2370,1054,1.134902,0,0,0,0,224,3200,0
1,4,3761,2531,1230,1.098423,0,0,0,0,303,3458,0
1,5,4196,2678,1518,1.115661,0,0,0,7,418,3771,7
1,6,4170,2487,1683,0.993804,0,0,0,0,463,3707,0
1,7,4025,2428,1597,0.965228,0,0,0,12,418,3595,12
1,8,4200,2665,1535,1.043478,0,0,0,2,420,3778,2
1,9,3935,2358,1577,0.936905,0,0,0,0,382,3553,0
1,10,3447,2117,1330,0.875985,0,0,0,0,260,3187,0
1,11,3899,2844,1055,1.131129,0,0,0,0,204,3695,0
1,12,3999,2513,1486,1.025648,0,0,0,0,269,3730,0
1,13,3913,2418,1495,0.978495,0,0,0,9,261,3643,9
1,14,3838,2450,1388,0.980833,0,0,0,3,222,3613,3
1,15,4241,2817,1424,1.105003,0,0,0,1,284,3956,1
1,16,3974,2389,1585,0.937043,0,0,0,3,343,3628,3
1,17,4108,2654,1454,1.033719,0,0,0,0,287,3821,0
1,18,3948,2463,1485,0.961052,0,0,0,4,299,3645,4
1,19,4089,2612,1477,1.035714,0,0,0,0,258,3831,0
1,20,4171,2587,1584,1.020054,0,0,0,0,339,3832,0
1,21,4186,2557,1629,1.003596,0,0,0,0,305,3881,0
1,22,4107,2550,1557,0.981128,0,0,0,6,327,3774,6
1,23,3916,2415,1501,0.953494,0,0,0,4,263,3649,4
1,24,3770,2381,1389,0.962717,0,0,0,0,172,3598,0
1,25,3908,2641,1267,1.036605,0,0,0,0,146,3762,0
1,26,4123,2626,1497,1.055015,0,0,0,0,183,3940,0
1,27,3960,2445,1515,0.960466,0,0,0,0,247,3713,0
1,28,4247,2736,1511,1.072475,0,0,0,0,268,3979,0
1,29,4026,2454,1572,0.947963,0,0,0,10,300,3716,10
1,30,4180,2676,1504,1.038251,0,0,0,6,284,3890,6
