Run,Time.Step,Population.Size,Group.Members,Floaters,Lambda,Trait.Index..0,Trait.Index..1,Trait.Index..2,Trait.Index..3,Trait.Index..4,Trait.Index..5,Inside
1,0,600,0,600,1,600,0,0,0,0,0,0
1,1,2130,1221,909,3.55,0,0,34,286,233,1577,320
1,2,2866,2130,736,1.34554,0,0,33,329,298,2206,362
1,3,3476,2537,939,1.21284,0,0,21,328,214,2913,349
1,4,3813,2519,1294,1.096951,0,0,12,367,286,3148,379
1,5,3875,2464,1411,1.01626,0,0,20,377,354,3124,397
1,6,3748,2443,1305,0.967226,0,0,20,350,346,3032,370
1,7,4005,2700,1305,1.06857,0,0,24,395,362,3224,419
1,8,4130,2650,1480,1.031211,0,0,16,433,370,3311,449
1,9,3900,2447,1453,0.94431,0,0,19,409,339,3133,428
1,10,4166,2698,1468,1.068205,0,0,27,432,330,3377,459
1,11,3752,2345,1407,0.900624,0,0,21,396,276,3059,417
1,12,3687,2509,1178,0.982676,0,0,17,383,189,3098,400
1,13,3874,2626,1248,1.050719,0,0,14,441,226,3193,455
1,14,4128,2765,1363,1.065565,0,0,17,430,218,3463,447
1,15,4108,2587,1521,0.995155,0,0,20,425,335,3328,445
1,16,3996,2528,1468,0.972736,0,0,18,439,303,3236,457
1,17,4037,2648,1389,1.01026,0,0,18,469,273,3277,487
1,18,4043,2660,1383,1.001486,0,0,21,464,240,3318,485
1,19,4230,2752,1478,1.046253,0,0,27,474,295,3434,501
1,20,4088,2556,1532,0.96643,0,0,27,441,322,3298,468
1,21,4298,2777,1521,1.05137,0,0,24,476,303,3495,500
1,22,4260,2631,1629,0.991159,0,0,24,481,359,3396,505
1,23,4193,2611,1582,0.984272,0,0,31,441,337,3384,472
1,24,4137,2596,1541,0.986644,0,0,32,465,317,3323,497
1,25,3888,2475,1413,0.939811,0,0,18,417,245,3208,435
1,26,4173,2826,1347,1.073303,0,0,14,462,243,3454,476
1,27,4025,2538,1487,0.964534,0,0,10,440,283,3292,450
1,28,4033,2616,1417,1.001988,0,0,14,461,224,3334,475
1,29,0,0,0,0,0,0,0,0,0,0,0
