"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11"
    1,      0,      10000,          0,      10000,   1.000000,          0,      10000,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    1,      1,      10800,       5083,       5717,   1.080000,       5074,       5716,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0
    1,      2,      12021,       6672,       5349,   1.113056,       6651,       5345,         16,          0,          1,          8,          0,          0,          0,          0,          0,          0
    1,      3,      13763,       8347,       5416,   1.144913,       8312,       5416,         12,          0,         12,         11,          0,          0,          0,          0,          0,          0
    1,      4,      16332,      10041,       6291,   1.186660,      10008,       6286,         14,          2,          2,         12,          0,          8,          0,          0,          0,          0
    1,      5,      17420,      10215,       7205,   1.066618,      10158,       7196,         22,          1,         15,         16,          0,         12,          0,          0,          0,          0
    1,      6,      19500,      11456,       8044,   1.119403,      11387,       8040,         37,          8,         14,         14,          0,          0,          0,          0,          0,          0
    1,      7,      18901,      10760,       8141,   0.969282,      10668,       8130,         28,         21,         13,         26,          1,          6,          0,          0,          0,          8
    1,      8,      21266,      12474,       8792,   1.125126,      12396,       8769,         29,         16,         20,         18,          2,         16,          0,          0,          0,          0
    1,      9,      21620,      12087,       9533,   1.016646,      11914,       9512,         32,         29,         14,         39,         16,         16,         13,         12,         14,          9
    1,     10,      23013,      12844,      10169,   1.064431,      12679,      10140,         31,         18,         29,         15,          2,         15,         16,         16,         24,         28
    1,     11,      22083,      12050,      10033,   0.959588,      11900,      10006,         24,         28,         25,          5,         14,         13,         14,         13,         26,         15
    1,     12,      21853,      12337,       9516,   0.989585,      12177,       9476,         26,         28,         18,         32,         12,         15,         12,         30,         11,         16
    1,     13,      21177,      12082,       9095,   0.969066,      11918,       9061,         28,         12,         18,         26,         16,         14,         15,         16,         27,         26
    1,     14,      20968,      12048,       8920,   0.990131,      11904,       8887,         22,         17,         17,         29,          1,         16,          9,         15,         22,         29
    1,     15,      21813,      12740,       9073,   1.040300,      12563,       9033,         29,         14,         24,         15,         17,         28,         19,         18,         28,         25
    1,     16,      22082,      12609,       9473,   1.012332,      12430,       9434,         16,         26,         18,         15,         29,         25,         15,         15,         15,         44
    1,     17,      22241,      12666,       9575,   1.007200,      12470,       9534,         16,         30,         16,         14,         18,         39,         10,         20,         17,         57
    1,     18,      24174,      13730,      10444,   1.086912,      13527,      10404,         29,         23,         31,         17,         15,         31,         16,         16,          4,         61
    1,     19,      24453,      13259,      11194,   1.011541,      13062,      11148,         23,         28,         15,         31,         30,         29,          1,         30,         16,         40
    1,     20,      24573,      13278,      11295,   1.004907,      13083,      11248,         30,          5,         25,         27,         28,         29,         18,         31,         14,         35
    1,     21,      24162,      13060,      11102,   0.983274,      12855,      11058,         30,         14,         28,         30,         15,         42,         10,         27,         31,         22
    1,     22,      23125,      12622,      10503,   0.957081,      12426,      10466,         24,         25,         25,         18,         25,         12,         28,         29,          4,         43
    1,     23,      23754,      13208,      10546,   1.027200,      12995,      10487,         23,         40,         31,         14,         31,         27,         13,         20,         28,         45
    1,     24,      23092,      12705,      10387,   0.972131,      12512,      10341,         26,         10,         31,         17,          9,         43,         15,         28,         17,         43
    1,     25,      22850,      12822,      10028,   0.989520,      12644,       9986,         26,         14,         24,         18,         11,         37,         10,         17,         44,         19
    1,     26,      23608,      13350,      10258,   1.033173,      13163,      10216,         27,         17,         27,          2,         24,         30,         15,         26,         23,         38
    1,     27,      22913,      12774,      10139,   0.970561,      12580,      10078,         29,         17,         15,         18,         18,         36,         15,         38,         19,         50
    1,     28,      21673,      12252,       9421,   0.945882,      12057,       9389,         37,         16,         15,         17,         16,         33,         14,         37,         13,         29
    1,     29,      21331,      12387,       8944,   0.984220,      12167,       8903,         31,         27,         16,         36,         11,         16,         25,         37,         13,         49
    1,     30,      23872,      14008,       9864,   1.119122,      13759,       9814,         28,         28,         16,         44,         27,         30,         19,         43,         16,         48
