"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5"
    2,      0,      10000,          0,      10000,   1.000000,      10000,          0,          0,          0,          0,          0
    2,      1,       9629,       4477,       5152,   0.962900,          0,          0,        157,       1239,       1143,       7090
    2,      2,      11865,       7139,       4726,   1.232215,          0,          0,        327,       1531,       2208,       7799
    2,      3,      14218,       8602,       5616,   1.198314,          0,          0,        323,       2103,       2261,       9531
    2,      4,      16836,      10173,       6663,   1.184133,          0,          0,        430,       2707,       2453,      11246
    2,      5,      18637,      10994,       7643,   1.106973,          0,          0,        575,       3222,       2711,      12129
    2,      6,      20570,      11829,       8741,   1.103718,          0,          0,        738,       3734,       3143,      12955
    2,      7,      19532,      10937,       8595,   0.949538,          0,          0,        732,       3866,       2796,      12138
    2,      8,      21128,      12316,       8812,   1.081712,          0,          0,        824,       4397,       2851,      13056
    2,      9,      21842,      12360,       9482,   1.033794,          0,          0,       1042,       4613,       3230,      12957
    2,     10,      20734,      11687,       9047,   0.949272,          0,          0,        968,       4590,       2784,      12392
    2,     11,      21365,      12336,       9029,   1.030433,          0,          0,        969,       4921,       2621,      12854
    2,     12,      21751,      12457,       9294,   1.018067,          0,          0,       1078,       5139,       2715,      12819
    2,     13,      22780,      12990,       9790,   1.047308,          0,          0,       1279,       5338,       3020,      13143
    2,     14,      23599,      13182,      10417,   1.035953,          0,          0,       1436,       5507,       3424,      13232
    2,     15,      21764,      12010,       9754,   0.922242,          0,          0,       1203,       5244,       2933,      12384
    2,     16,      21356,      12235,       9121,   0.981253,          0,          0,       1045,       5299,       2383,      12629
    2,     17,      21238,      12192,       9046,   0.994475,          0,          0,       1014,       5344,       2292,      12588
    2,     18,      22878,      13357,       9521,   1.077220,          0,          0,       1196,       5663,       2726,      13293
    2,     19,      21640,      12115,       9525,   0.945887,          0,          0,       1158,       5300,       2676,      12506
    2,     20,      22226,      12784,       9442,   1.027079,          0,          0,       1138,       5565,       2576,      12947
    2,     21,      24096,      13784,      10312,   1.084136,          0,          0,       1442,       5791,       3208,      13655
    2,     22,      24032,      13024,      11008,   0.997344,          0,          0,       1635,       5645,       3592,      13160
    2,     23,      25060,      13690,      11370,   1.042776,          0,          0,       1734,       5864,       3811,      13651
    2,     24,      24897,      13272,      11625,   0.993496,          0,          0,       1797,       5775,       3950,      13375
    2,     25,      22325,      12130,      10195,   0.896694,          0,          0,       1373,       5374,       3052,      12526
    2,     26,      24301,      13889,      10412,   1.088511,          0,          0,       1444,       5895,       3200,      13762
    2,     27,      24172,      13173,      10999,   0.994692,          0,          0,       1573,       5704,       3570,      13325
    2,     28,      24564,      13463,      11101,   1.016217,          0,          0,       1590,       5845,       3679,      13450
    2,     29,      25199,      13673,      11526,   1.025851,          0,          0,       1762,       5873,       3903,      13661
    2,     30,      25511,      13645,      11866,   1.012381,          0,          0,       1858,       5921,       4131,      13601
