"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5"
    1,      0,      10000,          0,      10000,   1.000000,      10000,          0,          0,          0,          0,          0
    1,      1,       7970,       5304,       2666,   0.797000,          0,          0,        136,        863,        873,       6098
    1,      2,       7374,       5561,       1813,   0.925220,          0,          0,        126,        765,       1217,       5266
    1,      3,       7538,       6335,       1203,   1.022240,          0,          0,         67,        782,        669,       6020
    1,      4,       7286,       6190,       1096,   0.966569,          0,          0,         26,        731,        602,       5927
    1,      5,       7237,       6285,        952,   0.993275,          0,          0,         17,        735,        490,       5995
    1,      6,       7178,       6248,        930,   0.991847,          0,          0,         15,        681,        424,       6058
    1,      7,       7127,       6167,        960,   0.992895,          0,          0,         10,        685,        439,       5993
    1,      8,       7079,       6182,        897,   0.993265,          0,          0,         15,        660,        374,       6030
    1,      9,       7271,       6384,        887,   1.027122,          0,          0,         16,        680,        407,       6168
    1,     10,       7256,       6308,        948,   0.997937,          0,          0,         14,        626,        416,       6200
    1,     11,       7337,       6396,        941,   1.011163,          0,          0,         16,        618,        409,       6294
    1,     12,       7443,       6464,        979,   1.014447,          0,          0,         10,        618,        406,       6409
    1,     13,       7582,       6556,       1026,   1.018675,          0,          0,         14,        625,        458,       6485
    1,     14,       8014,       6876,       1138,   1.056977,          0,          0,         16,        676,        470,       6852
    1,     15,       7921,       6771,       1150,   0.988395,          0,          0,         23,        633,        515,       6750
    1,     16,       7967,       6832,       1135,   1.005807,          0,          0,         27,        639,        496,       6805
    1,     17,       7990,       6806,       1184,   1.002887,          0,          0,         29,        678,        492,       6791
    1,     18,       7993,       6826,       1167,   1.000376,          0,          0,         54,        717,        514,       6708
    1,     19,       8523,       7122,       1401,   1.066308,          0,          0,         60,        808,        527,       7128
    1,     20,       8434,       7090,       1344,   0.989558,          0,          0,         78,        818,        572,       6966
    1,     21,       8624,       7283,       1341,   1.022528,          0,          0,         64,        906,        511,       7143
    1,     22,       9144,       7583,       1561,   1.060297,          0,          0,         99,       1027,        594,       7424
    1,     23,       9121,       7479,       1642,   0.997485,          0,          0,        108,       1109,        661,       7243
    1,     24,       9113,       7576,       1537,   0.999123,          0,          0,        141,       1190,        543,       7239
    1,     25,       9107,       7715,       1392,   0.999342,          0,          0,        128,       1244,        489,       7246
    1,     26,       9133,       7834,       1299,   1.002855,          0,          0,        106,       1249,        504,       7274
    1,     27,       9084,       7746,       1338,   0.994635,          0,          0,         86,       1293,        442,       7263
    1,     28,       9888,       8285,       1603,   1.088507,          0,          0,         99,       1528,        534,       7727
    1,     29,       9829,       8069,       1760,   0.994033,          0,          0,        194,       1542,        633,       7460
    1,     30,       9751,       8028,       1723,   0.992064,          0,          0,        208,       1609,        594,       7340
