"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17","Trait Index 18","Trait Index 19","Trait Index 20","Trait Index 21","Trait Index 22","Trait Index 23","Trait Index 24","Trait Index 25","Trait Index 26","Trait Index 27","Trait Index 28","Trait Index 29","Trait Index 30","Trait Index 31","Trait Index 32","Trait Index 33","Trait Index 34","Trait Index 35"
    2,      0,      10000,          0,      10000,   1.000000,       1673,          0,       1672,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1653,          0,       1646,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1710,          0,       1646,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,      1,       8810,       7098,       1712,   0.881000,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,        169,         84,        111,         27,       1266,        494,        796,          0,          0,          0,          0,          1,        381,        168,        229,         47,       2537,        890,       1609
    2,      2,       7063,       5400,       1663,   0.801703,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        102,          0,        101,          0,        618,          0,        607,          0,          0,          0,          0,         21,        274,        149,        187,        395,       2284,       1098,       1227
    2,      3,       6679,       5638,       1041,   0.945632,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         92,          0,        105,          0,        819,          0,        763,          0,          0,          0,          0,          0,        234,         73,        180,        188,       2188,        780,       1257
    2,      4,       6468,       5650,        818,   0.968408,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        103,          1,         99,          0,        819,          0,        824,          0,          0,          0,          0,          1,        192,         42,        169,        178,       2112,        596,       1332
    2,      5,       6355,       5645,        710,   0.982529,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         79,          0,        105,          0,        839,          0,        887,          0,          0,          0,          0,          1,        157,         24,        152,        182,       2029,        503,       1397
    2,      6,       6384,       5708,        676,   1.004563,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         87,          0,         89,          0,        827,          0,        863,          0,          0,          0,          0,          1,        144,         16,        147,        170,       2096,        489,       1455
    2,      7,       6898,       6106,        792,   1.080514,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        103,          0,        110,          0,        963,          0,        974,          0,          0,          0,          0,          0,        153,         14,        149,        261,       2075,        517,       1579
    2,      8,       6718,       6029,        689,   0.973906,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         62,          1,         80,          0,        774,          0,        774,          0,          0,          0,          0,          3,        171,         13,        160,        110,       2321,        562,       1687
    2,      9,       7143,       6297,        846,   1.063263,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         80,          0,        111,          0,       1002,          0,        996,          0,          0,          0,          0,          2,        155,         15,        157,        232,       2209,        597,       1587
    2,     10,       7063,       6349,        714,   0.988800,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         81,          0,         72,          0,        919,          0,        855,          0,          0,          0,          0,          1,        154,         12,        183,        145,       2373,        556,       1712
    2,     11,       6761,       6136,        625,   0.957242,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         58,          0,         83,          0,        794,          0,        781,          0,          0,          0,          0,          4,        152,         10,        166,         77,       2429,        534,       1673
    2,     12,       6953,       6195,        758,   1.028398,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         93,          0,         72,          0,        988,          0,        983,          0,          0,          0,          0,          1,        110,          6,        147,        204,       2228,        547,       1574
