"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11"
    2,      0,      10000,          0,      10000,   1.000000,      10000,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,      1,       7943,       5342,       2601,   0.794300,       7925,         16,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0
    2,      2,       7498,       5840,       1658,   0.943976,       7490,          8,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,      3,       7270,       6052,       1218,   0.969592,       7249,         13,          0,          8,          0,          0,          0,          0,          0,          0,          0,          0
    2,      4,       7100,       6025,       1075,   0.976616,       7100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,      5,       7020,       6020,       1000,   0.988732,       7018,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0
    2,      6,       7546,       6434,       1112,   1.074929,       7535,         11,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,      7,       7396,       6250,       1146,   0.980122,       7384,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,      8,       7874,       6717,       1157,   1.064630,       7863,         11,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,      9,       7745,       6621,       1124,   0.983617,       7745,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     10,       7560,       6456,       1104,   0.976114,       7560,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     11,       7672,       6648,       1024,   1.014815,       7664,          8,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     12,       8025,       6836,       1189,   1.046011,       8025,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     13,       7825,       6630,       1195,   0.975078,       7814,         11,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     14,       7680,       6558,       1122,   0.981470,       7680,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     15,       7733,       6649,       1084,   1.006901,       7719,         14,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     16,       7749,       6696,       1053,   1.002069,       7749,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     17,       7639,       6626,       1013,   0.985805,       7639,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     18,       7799,       6737,       1062,   1.020945,       7799,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     19,       7698,       6631,       1067,   0.987050,       7685,         13,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     20,       7694,       6699,        995,   0.999480,       7694,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     21,       8327,       7183,       1144,   1.082272,       8326,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     22,       8525,       7182,       1343,   1.023778,       8503,          9,          0,         13,          0,          0,          0,          0,          0,          0,          0,          0
    2,     23,       8298,       6979,       1319,   0.973372,       8286,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     24,       8729,       7295,       1434,   1.051940,       8729,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     25,       8431,       7020,       1411,   0.965861,       8431,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     26,       8691,       7309,       1382,   1.030839,       8691,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     27,       8283,       6970,       1313,   0.953055,       8283,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     28,       8415,       7246,       1169,   1.015936,       8415,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     29,       8358,       7162,       1196,   0.993226,       8358,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,     30,       8322,       7076,       1246,   0.995693,       8322,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
